GUID,PlayerName,Exp,KDR,PLAYER_KILL,Zombies_Killed,ZMB_KILL,ZMB_MIL_KILL,SUCIDE_DEATH,Total_Deaths,PLAYER_DEATH,TBD_DEATH,CARCRASH_DEATH,ZMB_DEATH,UNKNOWN_DEATH,UNKNOWN_BLEEDDEATH,CUTS,BLEED_OUT,Accuracy,SHOTS_FIRED,SHOTS_HIT,DOOR_LOCKED,Total_Animals_Hunted,ANIMAL_KILL_HEN,ANIMAL_KILL_GOAT,ANIMAL_KILL_PIG,ANIMAL_KILL_COW,ANIMAL_KILL_DEER,ANIMAL_KILL_BEAR,ANIMAL_KILL_WOLF,BODIES_BURIED,BANDAGE_SELF,BANDAGE_TARGET,CPR_TARGET,SALINE_SELF,SALINE_TARGET,BLOOD_SELF,BLOOD_SELF,TREES_CUT,HARVESTED_WEED,HARVESTED_KUSH,HARVESTED_BLUEWEED,HARVESTED_COCA,HARVESTED_PUMKIN,HARVESTED_PEPPER,HARVESTED_ZUCCHINI,HARVESTED_TOMATO,HARVESTED_TABACCO,CLEAN_WEAPON,Total_Built,BUILT_FENCE,BUILT_WATCHTOWER,BUILT_BBPTIER1,BUILT_BBPTIER2,BUILT_BBPTIER3,RAID_FENCE,RAID_WATCHTOWER,HACK_TENT,HACK_FENCE,HACK_BBPTIER1,HACK_BBPTIER2,HACK_BBPTIER3,HEADSHOT,EVENT_KINGOFTHEHILL,LongestSurvivedTime,DistanceTraveledHistorical,SurvivedTimeHistorical,LongestShot,LongestKill
5uqZUbZQnMKW3Y4qa0DW93EIU7n50ux29bUoFH4qVlg=,Duvy,349,2,2,20,5,15,2,1,1,0,0,0,0,0,5,0,1,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5969.921875,15694.57227,6338.907715,6.806602478,6.806602478
I6sHzPgfVGxzKUUg5uJ2Ycp2ycdLIqQt4ZsKAre8ZNo=,FDG_Jish,345,1,1,7,4,3,0,1,1,0,0,0,0,0,2,0,1,12,12,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5525.546875,15096.7998,5525.546875,98.84912109,98.84912109
PNrIAmXB5zdoauCdY1PVahD72SESuGRx2_P_X1yD-Nc=,Kabraw,328,0.5,2,6,0,6,2,4,4,0,0,0,0,0,7,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077.594727,6145.053223,2704.759766,18.12075424,18.12075424
flFK7sJJZc_jyUehTQ7EuyYMjKKFuxLeq80MiKOlHTY=,DayZ n' Chill *,320,1,1,4,0,4,0,1,1,0,0,0,0,0,1,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2903.997559,8211.385742,2903.997559,71.90350342,71.90350342
FO8Wg6yED4b2qkOaeqJ0mrn2Z72kGwcGJvYg19AphM8=,Dead Trees,316,1,1,3,3,0,1,1,1,0,0,0,0,0,3,0,1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3466.734375,6126.072266,3847.54834,70.23100281,70.23100281
NCmlyDy-VWhxChygE6gj7zr_jq0ezunwtQMQwON11nI=,Zaleran,314,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746.191406,4208.337891,2112.022217,2.134446144,2.134446144
hQFrG1b2583e8DQ1-SJeI30gO2dBGYBq40pA62uzDZA=,Viktor/Chupa,305,0.5,1,2,0,2,0,2,2,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569.383789,4094.748535,2693.871582,107.7578125,107.7578125
f4IB0f2wGTNFzlF2omsiIhcTBfl9x3_Jad01IGEz66A=,Dont be mad kid,304,2,2,6,2,4,0,1,1,0,0,0,0,0,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6666.835938,21322.08789,6666.835938,4.938072205,4.938072205
WWIv_aETzcq75kibjsyXbnfoaMx7EUO1S3Zou5Y5z3g=,That1KidCody,304,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.34802246,266.8731689,90.34802246,111.7911148,111.7911148
WH-H58hK_HVXb6Y5zzJUhb5JpuV4OTB0TQkldZiEvGU=,Teddy Briggs,302,0.333333333,1,10,0,10,0,3,3,0,0,0,0,0,4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412.583008,6331.00293,2980.437012,111.132103,111.132103
UR7LGs81Pfb_WrwqnfgjazQ4keKJKBi0mUH-dEsOovc=,GamerGreg,302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5523.311035,0,0,36.61876297,36.61876297
I3RvxqDq_kTHsnRU5q2EUgPXcFgumUSq9aYH_DoVVWk=,Snowlly,301,0.5,1,0,0,0,0,2,2,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791.722168,9447.821289,3183.252441,157.4839325,157.4839325
0yJSvqsXd22HzKW_z4E51mfvtsmml7hSPhMfnh4VMOA=,Jkilled,300,1,1,3,1,2,0,1,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3992.844971,8420.685547,3072.135254,193.274292,193.274292
UC_j7EIKKFLi3igogvpStPjhLp9EDa-D3G9JOv-wYf8=,Mark Morrison,300,1,1,1,1,0,0,1,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3621.830322,9077.313477,3621.830322,180.3942871,180.3942871
aj5v9Jx5JigEOM0vGCKduAB0bHN2eDDwoLJox1K7mQA=,Alien,300,1,1,9,5,4,0,1,1,0,0,0,0,0,4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405.751953,7141.60791,3405.751953,80.15233612,80.15233612
fBNyHzeGhWpaOLVC1bfjn8vzBjs10epulG3gUbt_lhY=,Quaresma,297,0.333333333,1,1,0,1,1,3,3,0,0,0,0,0,14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2219.981934,8418.230469,3600.289551,5.608222961,5.608222961
SpUi_eCsOrz1EFE7IYUP_2Rdnee58xKcije2ej4b-YM=,[G-EAGLE] PUNISHER,295,0.5,1,0,0,0,0,2,2,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1422.932861,3273.612793,2086.454834,215.2073059,215.2073059
ybNG4dlxbgEMJO-srmpUR9u0Ni-HOgdWQ6fGoDRNym8=,Isaac,270,1,1,0,0,0,1,1,1,0,0,0,0,0,4,0,1,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203.329346,3003.016602,2789.702393,117.872879,117.872879
C5xSJeX596g6I5_vWnjY5ABqy0J5skyb0mNxyGBoK84=,elton,269,1.333333333,4,15,1,14,5,5,3,0,0,2,0,0,31,0,1,7,7,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490.690308,9640.753906,4180.476563,68.95910645,68.95910645
dDuzUsyjH9zOf1v1_f97S23P2EyiMYUwj7Olb9Ekp-Q=,oPR1ESTo,211,1,1,30,28,2,0,1,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23205.89453,29909.09961,23205.89453,50.63527298,50.63527298
kCYH0MXExFQ0aru3jkO6d1fy4Fl8gNpdwc-804jB9mA=,{Raw}Zero,121,0,0,48,17,31,1,1,0,0,0,1,0,0,2,0,1,35,35,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3488.636963,4948.228027,3512.4729,0,0
m3vK3xp4VArJ0nmNhdY-CWTOpiwxE7hV8gtYORVTTAI=,Country,112,0.142857143,1,21,8,13,1,7,7,0,0,0,0,0,23,0,1,17,17,0,2,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15320.93359,17263.95898,11036.90137,14.16387272,14.16387272
0R1Fit3hHrVoD1qrnXsqjE2S02GalF7iqsUk44fWjGw=,rico,92,0,0,19,12,7,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8828.264648,0,0,0,0
YtcX2kDK6hR2zqwPR09vG224NeqrUJF7HKKQCAW8gVA=,Akame,77,0.666666667,2,20,2,18,1,3,3,0,0,0,0,0,14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8857.94043,15542.13281,10547.92383,47.52421951,47.52421951
ORbrVMZ4ZAKXvjlko8MxIYcEvc8YfEoXI5NqRvf9iQQ=,Kraun,72,1,1,16,8,8,0,1,1,0,0,0,0,0,6,0,1,12,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7706.18457,12889.81641,7706.18457,56.63227844,56.63227844
1bdGESp-bTdnEaYIr_UA6hyz5l7zOB4H5aUjSuckFLY=,SgtSniperXIV,68,0,0,18,10,8,1,1,1,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718.20313,34566.42969,18398.9668,154.6940918,154.6940918
bQPjNvLJVCVrxgCCMjWZg5KfCZ3hfHdl0I8OoqaU9Cc=,Emerus,61,0,0,16,14,2,3,2,0,0,0,2,0,0,8,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4570.609375,16360.42969,6688.666992,0,0
kLestJ7pJEDwG8WBklK-YceIbT-2naKIP-x-By3bSrM=,Doug Dimmadaddy,59,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173.872314,0,0,0,0
3D1v6dtA3P2NBorLw1La0BFsP3lNhJmrNpazMuruBI0=,[SG] Dwayne Hicks,52,0,0,19,4,15,0,2,2,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6527.895996,7050.268066,4485.197266,14.92106342,14.92106342
s0O7s6cODNXU4FPBjQeGRsvSHrCNVlHJoSw5jK62nLo=,Cbroph,51,0,0,11,11,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3820.300049,0,0,0,0
R9l9X1MSMatp5neRD3vWrElppF1G57i67j7NrJmHLFk=,Panda,46,0,0,7,6,1,5,0,0,0,0,0,0,0,7,0,1,10,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.149414,7935.902344,1889.224609,0,0
