DistanceTraveled,DistanceTraveledHistorical,Exp,GUID,LongestKill,LongestShot,LongestSurvivedTime,PlayerName,UNKNOWN_TYPE,KDR,PLAYER_KILL,FRIENDLY_KILL,AI_KILL,Zombies_Killed,ZMB_KILL,ZMB_MIL_KILL,SUCIDE_DEATH,PLAYER_DEATH,FRIENDLY_DEATH,Total_Deaths,AI_DEATH,TBD_DEATH,CARCRASH_DEATH,HELICRASH_DEATH,ZMB_DEATH,UNKNOWN_DEATH,UNKNOWN_BLEEDDEATH,CUTS,BLEED_OUT,Accuracy,SHOTS_FIRED,SHOTS_HIT,DOOR_LOCKED,ANIMAL_KILL_HEN,ANIMAL_KILL_GOAT,ANIMAL_KILL_PIG,ANIMAL_KILL_COW,ANIMAL_KILL_DEER,ANIMAL_KILL_BEAR,ANIMAL_KILL_WOLF,BODIES_BURIED,BANDAGE_SELF,BANDAGE_TARGET,MEDICATE_SELF,MEDICATE_TARGET,CPR_TARGET,SALINE_SELF,SALINE_TARGET,BLOOD_SELF,BLOOD_SELF,TREES_CUT,HARVESTED_CANNABIS,HARVESTED_WEED,HARVESTED_KUSH,HARVESTED_BLUEWEED,HARVESTED_COCA,HARVESTED_PUMKIN,HARVESTED_PEPPER,HARVESTED_ZUCCHINI,HARVESTED_TOMATO,HARVESTED_PATATO,HARVESTED_TABACCO,REPAIRED_CLOTHES,CLEAN_WEAPON,BUILT_FENCE,BUILT_WATCHTOWER,BUILT_BBPTIER1,"BUILT_BBPTIER2""""",BUILT_BBPTIER3,RAID_FENCE,RAID_WATCHTOWER,RAID_BBPTIER1,RAID_BBPTIER2,RAID_BBPTIER3,HACK_TENT,HACK_FENCE,HACK_BBPTIER1,HACK_BBPTIER2,HACK_BBPTIER3,HEADSHOT,EVENT_KINGOFTHEHILL,EVENT_BOUNTYHUNTER,EVENT_BOUNTYTARGET,EVENT_AIRDROP,SurvivedTime,SurvivedTimeHistorical
6186.264648,903805.6875,57131,cHeMyRRQ5LmWb5k0QrrLSo5cRdx2_c2zkxQwQ13qiWo=,459.2139893,459.2139893,24793,[DUB] ECLIPSE,0,3.573770492,218,0,0,428,41,387,11,61,0,64,0,0,0,0,1,1,1,187,1,0.024176345,12657,306,0,0,0,0,0,2,0,1,0,74,1,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,1493.34082,415146.3125
12074.74902,1002677.938,56982,5YnHEHFYQ90twfueEs9NaBGZ0gCQuz_JvumgIlJfSxA=,876.5013428,876.5013428,151792.2031,3,27,2.959183673,145,0,0,1307,329,978,52,49,0,50,0,0,0,0,1,0,0,158,0,0.038605522,8548,330,0,0,0,0,0,1,0,137,0,78,3,0,0,0,5,0,0,0,31,0,0,27,18,185,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,26,0,0,0,6718.375977,573447.5
144000.6563,582063.5,56715,enkrALt_fF3nBk_paOJpHy38z2IegOKpiG4gLukAsXQ=,452.2119141,730.9929199,207069.1719,[Breakfast Club] Applesauce,36,7.545454545,166,0,0,375,36,339,35,22,0,22,0,0,0,0,0,0,0,56,0,0.028691983,8295,238,0,0,0,0,0,0,0,10,0,24,4,0,0,0,0,0,0,0,13,0,9,18,18,75,0,0,0,0,0,0,0,6,0,0,61,26,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,139817.2813,675556.75
510072.75,1980161.75,54693,6y3oKPlTTU_RIA8mf9ptz_AbSToqTgX1VVC-aozEWBs=,514.4979858,514.4979858,208228.25,! urdead4rlz,0,2.977777778,134,0,0,1055,531,524,321,45,0,45,0,0,0,0,0,0,0,154,0,0.014017753,24897,349,7,7,5,0,19,7,1,3,0,73,3,0,0,0,2,0,0,0,148,0,0,0,0,5,0,0,0,0,0,0,0,10,7,0,681,92,45,1,0,0,0,0,1,0,0,0,2,19,10,0,0,0,208228.25,1191406.875
10438.20801,1822957.625,54677,pjOM9OBqaBSVGrCGnSsxzMbqZsamok3eeZ9DYZ7H2i0=,528.848938,661.4733887,52985.94141,i overdosed on black tar heroin,0,3.241935484,201,0,0,1567,218,1349,379,62,0,67,0,0,1,0,4,0,0,329,0,0.025514994,18107,462,7,0,3,0,0,0,0,38,0,142,7,0,0,12,1,0,0,0,4,0,0,0,8,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,6463.49707,719365.625
5345.825195,1348990.625,53484,sgrdzd7exGV_OiMtj7IuvuOfAEE9QPgvayaVWK9kw5E=,562.7565918,562.7565918,14578.51855,Buddles,0,2.254716981,239,0,0,356,9,347,88,106,0,109,0,0,0,0,3,0,0,324,0,0.058529412,10200,597,1,0,0,0,0,1,0,4,0,106,6,0,0,0,9,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,0,0,0,1583.065918,518053.7188
0,2382427.75,52912,45UqmPUzn7FHGqpdlsMDHtIOWhOo2eVLZvUDBnR8Wp4=,919.1385498,919.1385498,72509.39844,GL Poontch,0,2.2421875,287,0,0,903,345,558,985,128,0,130,0,0,0,0,2,0,0,334,0,0.04677509,14388,673,20,7,2,0,17,5,2,23,0,132,0,0,0,3,5,1,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,171,7,0,2,0,0,0,0,0,0,0,0,1,61,7,0,0,0,0,1047120.438
39123.08984,557465.1875,52125,SK8N3_ObAk_Ub_EiTQNMsbLCPKwycF_41VRKFFn9K0U=,283.6387634,290.2340088,74318.83594,GaLaaTz,0,2.468085106,232,0,0,696,9,687,217,94,0,96,0,0,0,0,2,0,0,393,0,0.09603515,9559,918,8,0,0,0,0,0,0,0,0,123,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,21638.1875,416053.5
10810.47559,2155714.5,49158,lJGz8Vqwvp47cI9be_eKbiyEow-uQNMalRAZEERLcvk=,529.9790039,529.9790039,171299.3125,! retsnomtekcit,44,4.6,138,0,0,1660,649,1011,329,30,0,32,0,0,1,0,1,0,0,92,0,0.078745198,4686,369,0,0,0,0,1,5,5,22,0,26,0,0,0,0,0,0,0,0,20,0,36,45,0,63,0,0,0,0,0,0,0,15,0,0,55,15,0,4,0,0,0,0,0,0,0,0,0,17,14,0,0,0,4635.743164,642488.8125
9839.442383,1757284.5,48737,DG6GPwoANjG5wP-qeKdn-OVy8b0UxDbcZtqXEaUgiLw=,606.5360718,606.5360718,79416.57031,[ovo] 3rd LEG,0,2.074074074,112,0,0,1125,270,855,289,54,0,58,0,0,1,0,3,0,0,193,0,0.043376089,10213,443,40,4,0,0,9,12,1,7,0,93,7,0,0,1,7,2,2,0,3,0,0,36,27,77,4,0,0,0,0,10,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,20,52,0,0,0,5909.370117,681064.4375
